img,title,price,product_link
http://www.bornprettystore.com/images/ProPho/4849/dsc.jpg,1pc Nail Art Stamping Polish Nail Varnish Sta...,USD $2.99,http://www.bornprettystore.com/nail-stamping-polish-nail-varnish-stamp-colors-p-4849.html
http://www.bornprettystore.com/images/ProPho/6947/dsc.jpg,Nail Art Stamp Template Fancy Butterfly Flowe...,USD $2.39,http://www.bornprettystore.com/nail-stamp-template-fancy-butterfly-flower-triangle-pattern-qa66-p-6947.html
http://www.bornprettystore.com/images/ProPho/4913/dsc.jpg,2 way Wooden Dotting Pen Tool Nail Art Manicu...,USD $1.99,http://www.bornprettystore.com/wooden-dotting-tool-nail-manicure-p-4913.html
http://www.bornprettystore.com/images/ProPho/11340/dsc.jpg,1 Sheet Colored Lotus Rose Plum Blossom Flora...,USD $1.59,http://www.bornprettystore.com/sheet-colored-lotus-rose-plum-blossom-floral-pattern-nail-water-decals-transfers-sticker-p-11340.html
http://www.bornprettystore.com/images/ProPho/12411/dsc.jpg,500Pcs 1.2mm/2mm/3mm Mini Gold And Silver Rou...,USD $3.95,http://www.bornprettystore.com/500pcs-12mm2mm3mm-mini-gold-silver-round-stud-rhinestone-nail-decoration-wbox-p-12411.html
http://www.bornprettystore.com/images/ProPho/98/dsc.jpg,WHITE BUFFER SANDING BLOCK FILES Nail Art Too...,USD $1.32,http://www.bornprettystore.com/white-buffer-sanding-block-files-nail-tool-p-98.html
http://www.bornprettystore.com/images/ProPho/7610/dsc.jpg,Pro Powder Puff Water-drop Sponge Make-up Fla...,USD $2.38,http://www.bornprettystore.com/powder-puff-water-drop-sponge-make-flawless-foundation-makeup-random-color-p-7610.html
http://www.bornprettystore.com/images/ProPho/5591/dsc.jpg,1Pc Ring Vintage Lovely Little Mouse Female R...,USD $0.99,http://www.bornprettystore.com/ring-vintage-lovely-little-mouse-female-ring-p-5591.html
http://www.bornprettystore.com/images/ProPho/404/dsc.jpg,10 pcs Clear False Nail tips Art Display Prac...,USD $6.15,http://www.bornprettystore.com/clear-false-nail-tips-display-practice-wheel-p-404.html
http://www.bornprettystore.com/images/ProPho/6409/dsc.jpg,Born Pretty Holographic Holo Glitter Nail Pol...,USD $6.44,http://www.bornprettystore.com/born-pretty-holographic-holo-glitter-nail-polish-varnish-hologram-effect-p-6409.html
